id,name,country_code,country,hand,age,url,date_accessed
39083,ANZOLIN Carolina,BRA,BRAZIL,Right,31,https://fie.org/athletes/39083,13/05/2021 21:50
51373,COLMENAR Angela,ESP,SPAIN,Right,18,https://fie.org/athletes/51373,13/05/2021 21:32
39086,PRECIADO Diana,MEX,MEXICO,Right,21,https://fie.org/athletes/39086,13/05/2021 21:50
39088,GOMEZ Blanca,MEX,MEXICO,Right,20,https://fie.org/athletes/39088,13/05/2021 21:50
39089,HIDALGO-MONROY Paulina,MEX,MEXICO,Right,21,https://fie.org/athletes/39089,13/05/2021 21:50
39087,SOLTERO Lildjan,MEX,MEXICO,Right,25,https://fie.org/athletes/39087,13/05/2021 21:50
14515,ANUSZEWSKA Justyna,POL,POLAND,Right,31,https://fie.org/athletes/14515,13/05/2021 21:50
24756,RAPAUD Astrid,FRA,FRANCE,Right,28,https://fie.org/athletes/24756,13/05/2021 21:20
37046,CASTRO GONZALEZ Angie Paola,VEN,VENEZUELA,Left,20,https://fie.org/athletes/37046,13/05/2021 21:42
24763,ABU BAKAR Natasha Ezzra,MAS,MALAYSIA,Left,29,https://fie.org/athletes/24763,13/05/2021 21:20
26812,KORENCAN Klara,SLO,SLOVENIA,Right,25,https://fie.org/athletes/26812,13/05/2021 21:32
37053,MATYSIAK Katarzyna,POL,POLAND,Right,22,https://fie.org/athletes/37053,13/05/2021 21:42
51390,DOCAVO Elena,ESP,SPAIN,Right,16,https://fie.org/athletes/51390,13/05/2021 21:32
37054,MECH Marta,POL,POLAND,Right,21,https://fie.org/athletes/37054,13/05/2021 21:42
28864,BALOGH Orsolya,HUN,HUNGARY,Right,24,https://fie.org/athletes/28864,13/05/2021 21:42
10433,SHI Yuhong,CHN,CHINA,Right,33,https://fie.org/athletes/10433,13/05/2021 21:32
10435,WANG Wenying,SGP,SINGAPORE,Left,40,https://fie.org/athletes/10435,13/05/2021 21:32
32965,LEE Areta,HKG,HONG KONG- CHINA,Right,21,https://fie.org/athletes/32965,13/05/2021 21:20
35017,LOZADA Wilhelmina,PHI,PHILIPPINES,Left,24,https://fie.org/athletes/35017,13/05/2021 21:32
45261,GOLDENBERG Michelle,AUS,AUSTRALIA,Right,20,https://fie.org/athletes/45261,13/05/2021 21:42
22733,JAKUBCOVA Katerina,CZE,CZECH REPUBLIC,Right,30,https://fie.org/athletes/22733,13/05/2021 21:50
35024,TINIO Justine Gail,PHI,PHILIPPINES,Right,25,https://fie.org/athletes/35024,13/05/2021 21:32
45265,SHAITO Manal,LBN,LEBANON,Right,22,https://fie.org/athletes/45265,13/05/2021 21:42
30930,CECCHINI Gabriela,BRA,BRAZIL,Right,24,https://fie.org/athletes/30930,13/05/2021 21:50
45268,BERNO Eleonora,ITA,ITALY,Right,19,https://fie.org/athletes/45268,13/05/2021 21:42
30932,CAMOZZATO Nicole,BRA,BRAZIL,Right,23,https://fie.org/athletes/30932,13/05/2021 21:50
45270,FERRARA Valentina,ITA,ITALY,Left,20,https://fie.org/athletes/45270,13/05/2021 21:42
26839,KOVACEVIC Marija,SRB,SERBIA,Right,26,https://fie.org/athletes/26839,13/05/2021 21:32
45273,MARCHENKO Arina,RUS,RUSSIA,Right,20,https://fie.org/athletes/45273,13/05/2021 21:42
28891,MUNOZ Alejandra,CHI,CHILE,Right,27,https://fie.org/athletes/28891,13/05/2021 21:42
49372,JOO Yeongji,KOR,KOREA,Right,19,https://fie.org/athletes/49372,13/05/2021 21:20
45276,DONATELLI Teresa,ITA,ITALY,Left,21,https://fie.org/athletes/45276,13/05/2021 21:42
45282,PIJACZYNSKA Kinga,POL,POLAND,Right,20,https://fie.org/athletes/45282,13/05/2021 21:42
51432,CIAMPALINI Vittoria,ITA,ITALY,Right,19,https://fie.org/athletes/51432,13/05/2021 21:32
43242,KO Christelle Joy,HKG,HONG KONG- CHINA,Left,18,https://fie.org/athletes/43242,13/05/2021 21:32
43254,JONSSON Line,SWE,SWEDEN,Right,20,https://fie.org/athletes/43254,13/05/2021 21:32
45304,CANTUCCI Gaia,SVK,SLOVAKIA,Right,20,https://fie.org/athletes/45304,13/05/2021 21:42
43256,ZARE Fatemeh,IRI,IRAN,Right,19,https://fie.org/athletes/43256,13/05/2021 21:32
35066,TSUKHISHVILI Mariami,GEO,GEORGIA,Right,21,https://fie.org/athletes/35066,13/05/2021 21:32
49404,ABDELHADI Shadwa,EGY,EGYPT,Left,18,https://fie.org/athletes/49404,13/05/2021 21:20
49405,HANY Salma,EGY,EGYPT,Right,16,https://fie.org/athletes/49405,13/05/2021 21:20
2301,JENSEN Lene,DEN,DENMARK,Right,52,https://fie.org/athletes/2301,13/05/2021 21:32
24831,DANIEL Claire,AUS,AUSTRALIA,Right,30,https://fie.org/athletes/24831,13/05/2021 21:20
49408,MASAKIDI Evodie,COD,DEMOCRATIC REPUBLIC OF CONGO,Right,19,https://fie.org/athletes/49408,13/05/2021 21:20
47365,LECHUGA Paula,ESP,SPAIN,Right,19,https://fie.org/athletes/47365,13/05/2021 21:50
24838,SAGOLSEM Bindu Devi,IND,INDIA,Left,30,https://fie.org/athletes/24838,13/05/2021 21:20
43272,ZUZULO Isabella,USA,USA,Right,21,https://fie.org/athletes/43272,13/05/2021 21:32
