competition_ID,season,name,category,country,start_date,end_date,weapon,gender,timezone,url,unique_ID,missing_results_flag
457,2019,Grand Prix,Senior,CHINA,17/05/2019,19/05/2019,Foil,Womens,Asia/Hong_Kong,https://fie.org/competitions/2019/457,2019-457,
237,2019,Championnats du monde juniors-cadets,Cadet,POLAND,10/04/2019,10/04/2019,Foil,Womens,Europe/Warsaw,https://fie.org/competitions/2019/237,2019-237,
121,2019,2019 Absolute Fencing Gear FIE Grand Prix Anaheim,Senior,USA,16/03/2019,17/03/2019,Foil,Womens,America/Los_Angeles,https://fie.org/competitions/2019/121,2019-121,
129,2019,Coupe du Monde,Senior,EGYPT,01/03/2019,02/03/2019,Foil,Womens,Africa/Cairo,https://fie.org/competitions/2019/129,2019-129,
127,2019,Coupe du Monde,Senior,FRANCE,25/01/2019,26/01/2019,Foil,Womens,Europe/Paris,https://fie.org/competitions/2019/127,2019-127,
118,2019,Coupe du Monde,Senior,POLAND,11/01/2019,12/01/2019,Foil,Womens,Europe/Warsaw,https://fie.org/competitions/2019/118,2019-118,
1385,2019,Tournoi satellite,Senior,SPAIN,27/10/2018,27/10/2018,Foil,Womens,Europe/Madrid,https://fie.org/competitions/2019/1385,2019-1385,
1377,2019,Tournoi Satelite,Senior,TURKEY,20/10/2018,21/10/2018,Foil,Womens,Europe/Istanbul,https://fie.org/competitions/2019/1377,2019-1377,
1359,2018,Championnats du monde Vétérans 60-69,Veterans,ITALY,11/10/2018,11/10/2018,Foil,Womens,Europe/Rome,https://fie.org/competitions/2018/1359,2018-1359,
1360,2018,Championnats du monde Vétérans 70+,Veterans,ITALY,11/10/2018,11/10/2018,Foil,Womens,Europe/Rome,https://fie.org/competitions/2018/1360,2018-1360,
237,2018,Championnats du monde juniors-cadets,Cadet,ITALY,08/04/2018,08/04/2018,Foil,Womens,Europe/Rome,https://fie.org/competitions/2018/237,2018-237,
237,2017,Championnats du monde juniors-cadets,Cadet,BULGARIA,03/04/2017,03/04/2017,Foil,Womens,Europe/Sofia,https://fie.org/competitions/2017/237,2017-237,
1111,2017,Championnats Panaméricains Cadets,Cadet,CUBA,02/03/2017,07/03/2017,Foil,Womens,America/Havana,https://fie.org/competitions/2017/1111,2017-1111,
1111,2016,Championnats Panaméricains Cadets,Cadet,MEXICO,27/02/2016,04/03/2016,Foil,Womens,America/Cancun,https://fie.org/competitions/2016/1111,2016-1111,
237,2015,Champ du monde juniors-cadets,Cadet,UZBEKISTAN,03/04/2015,03/04/2015,Foil,Womens,Asia/Tashkent,https://fie.org/competitions/2015/237,2015-237,
